,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
202,2013,3,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1113,302.67,ATL,SEA
203,2013,4,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,829,316.47,ATL,SEA
204,2011,1,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1114,151.73,BOS,CLT
205,2011,2,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1625,155.27,BOS,CLT
206,2011,3,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1701,146.93,BOS,CLT
207,2011,4,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1538,150.42,BOS,CLT
208,2012,1,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1141,151.39,BOS,CLT
209,2012,2,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1703,167.08,BOS,CLT
210,2012,3,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1707,159.3,BOS,CLT
211,2012,4,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1578,151.78,BOS,CLT
212,2013,1,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1301,144.84,BOS,CLT
213,2013,2,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1811,148.87,BOS,CLT
214,2013,3,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1933,144.2,BOS,CLT
215,2013,4,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1727,151.54,BOS,CLT
216,2011,1,"Boston, MA (Metropolitan Area)","Chicago, IL",867,2510,181.14,BOS,ORD
217,2011,2,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4104,196.12,BOS,ORD
218,2011,3,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4534,176.17,BOS,ORD
219,2011,4,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4159,172.83,BOS,ORD
