,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
306,ORD,"Chicago, IL",LAS,"Las Vegas, NV",11887.72
307,ORD,"Chicago, IL",LAX,"Los Angeles, CA",13289.71
308,ORD,"Chicago, IL",LGA,"New York, NY",12405.7
309,ORD,"Chicago, IL",MCO,"Orlando, FL",6163.96
310,ORD,"Chicago, IL",MIA,"Miami, FL",5623.8
311,ORD,"Chicago, IL",MSP,"Minneapolis, MN",2269.2
312,ORD,"Chicago, IL",ORD,"Chicago, IL",49.35
313,ORD,"Chicago, IL",PHL,"Philadelphia, PA",3649.02
314,ORD,"Chicago, IL",PHX,"Phoenix, AZ",10309.66
315,ORD,"Chicago, IL",SEA,"Seattle, WA",13373.59
316,ORD,"Chicago, IL",SFO,"San Francisco, CA",15210.38
317,PHL,"Philadelphia, PA",ATL,"Atlanta, GA",3820.72
318,PHL,"Philadelphia, PA",BOS,"Boston, MA",2696.25
319,PHL,"Philadelphia, PA",CLT,"Charlotte, NC",1878.5
320,PHL,"Philadelphia, PA",DEN,"Denver, CO",6080.92
321,PHL,"Philadelphia, PA",DFW,"Dallas/Fort Worth, TX",9167.08
322,PHL,"Philadelphia, PA",DTW,"Detroit, MI",1945.33
323,PHL,"Philadelphia, PA",EWR,"Newark, NJ",852.48
324,PHL,"Philadelphia, PA",IAH,"Houston, TX",7239.95
325,PHL,"Philadelphia, PA",JFK,"New York, NY",166.52
326,PHL,"Philadelphia, PA",LAS,"Las Vegas, NV",14702.34
327,PHL,"Philadelphia, PA",LAX,"Los Angeles, CA",14342.67
328,PHL,"Philadelphia, PA",LGA,"New York, NY",1372.72
329,PHL,"Philadelphia, PA",MCO,"Orlando, FL",5022.06
330,PHL,"Philadelphia, PA",MIA,"Miami, FL",5392.6
331,PHL,"Philadelphia, PA",MSP,"Minneapolis, MN",2926.85
332,PHL,"Philadelphia, PA",ORD,"Chicago, IL",4371.72
333,PHL,"Philadelphia, PA",PHL,"Philadelphia, PA",104.33
334,PHL,"Philadelphia, PA",PHX,"Phoenix, AZ",13677.53
335,PHL,"Philadelphia, PA",SEA,"Seattle, WA",10293.07
336,PHL,"Philadelphia, PA",SFO,"San Francisco, CA",13065.14
337,PHX,"Phoenix, AZ",ATL,"Atlanta, GA",8099.97
338,PHX,"Phoenix, AZ",BOS,"Boston, MA",9709.22
339,PHX,"Phoenix, AZ",CLT,"Charlotte, NC",12776.34
340,PHX,"Phoenix, AZ",DEN,"Denver, CO",3421.3
341,PHX,"Phoenix, AZ",DFW,"Dallas/Fort Worth, TX",6922.93
342,PHX,"Phoenix, AZ",DTW,"Detroit, MI",5936.78
343,PHX,"Phoenix, AZ",EWR,"Newark, NJ",9111.8
344,PHX,"Phoenix, AZ",IAH,"Houston, TX",5085.39
